monat,produkt,kostenstelle,plan_menge,ist_menge,plan_preis,ist_preis,variable_stueckkosten,fixkosten_produkt
2026-09,Buerostuhl Basic,Vertrieb Online,80,76.0,120.0,120.62,70.0,3000
2025-11,Monitor 24 Zoll,Vertrieb Ost,70,55.0,180.0,168.58,100.0,2500
2025-05,Buerostuhl Premium,Vertrieb Nord,30,33.0,350.0,383.81,180.0,6000
2025-02,Monitor 24 Zoll,Vertrieb Nord,70,67.0,180.0,178.91,100.0,2500
2025-11,Schreibtischlampe LED,Vertrieb Nord,180,,38.0,40.45,14.0,800
2026-04,Buerostuhl Basic,Vertrieb Online,80,83.0,120.0,121.21,70.0,3000
2026-09,Tastatur Wireless,Vertrieb Online,240,253.0,45.0,47.42,18.0,1200
2026-05,Tastatur Wireless,Vertrieb Sued,240,218.0,45.0,39.86,18.0,1200
2026-04,Buerostuhl Premium,Vertrieb Ost,30,,350.0,353.0,180.0,6000
2025-02,Buerostuhl Ergonomic,Vertrieb Sued,18,17.0,550.0,554.11,290.0,7000
2025-02,Dockingstation USB-C,Vertrieb West,76,72.0,140.0,127.51,65.0,2200
2025-05,Buerostuhl Premium,Vertrieb Sued,30,28.0,350.0,359.58,180.0,6000
2026-10,Buerostuhl Basic,Vertrieb Online,80,77.0,120.0,123.53,70.0,3000
2025-06,Buerostuhl Basic,Vertrieb Online,80,82.0,120.0,123.66,70.0,3000
2026-04,Monitor 27 Zoll,Vertrieb Ost,60,65.0,280.0,286.99,160.0,4000
2025-03,Tastatur Wireless,Vertrieb Ost,240,254.0,45.0,47.34,18.0,1200
2025-07,Headset Business,Vertrieb Sued,120,125.0,75.0,65.81,32.0,1600
2026-10,Tastatur Mechanisch,Vertrieb Sued,100,100.0,95.0,90.35,42.0,1800
2026-08,Webcam HD,Vertrieb Nord,140,150.0,55.0,59.58,22.0,1100
2026-08,Maus Wireless,Vertrieb West,280,290.0,28.0,30.03,10.0,900
2026-09,Buerostuhl Basic,Vertrieb West,80,86.0,120.0,127.18,70.0,3000
2025-10,Buerostuhl Ergonomic,Vertrieb Nord,18,17.0,550.0,562.46,290.0,7000
2026-01,Schreibtisch Fix,Vertrieb Sued,40,41.0,220.0,234.06,110.0,3500
2025-09,Maus Wireless,Vertrieb Sued,280,274.0,28.0,-27.1,10.0,900
2025-07,Maus Wireless,Vertrieb West,280,277.0,28.0,26.96,10.0,900
2025-12,Schreibtisch Fix,Vertrieb Ost,40,38.0,220.0,215.38,110.0,3500
2026-07,Headset Business,Vertrieb Ost,120,127.0,75.0,67.28,32.0,1600
2025-04,Schreibtisch Elektrisch,Vertrieb Nord,18,18.0,650.0,718.98,380.0,8000
2025-12,Dockingstation USB-C,Vertrieb Online,76,64.0,140.0,151.93,65.0,2200
2025-05,Tastatur Wireless,Vertrieb Ost,240,261.0,45.0,47.62,18.0,1200
2026-05,Schreibtischlampe LED,Vertrieb West,180,196.0,38.0,40.44,14.0,800
2026-05,Maus Wireless,Vertrieb West,280,223.0,28.0,28.49,10.0,900
2026-06,Buerostuhl Basic,Vertrieb West,80,83.0,120.0,122.37,70.0,3000
2025-06,Buerostuhl Premium,Vertrieb Ost,30,33.0,350.0,345.75,180.0,6000
2025-05,Buerostuhl Basic,Vertrieb Online,80,84.0,120.0,123.75,70.0,3000
2026-03,Buerostuhl Ergonomic,Vertrieb Online,18,16.0,550.0,566.35,290.0,7000
2025-03,Schreibtisch Elektrisch,Vertrieb Sued,18,21.0,650.0,670.69,380.0,8000
2026-09,Monitor 32 Zoll Curved,Vertrieb Nord,24,26.0,480.0,493.11,270.0,5000
2025-08,Buerostuhl Basic,Vertrieb Ost,80,,120.0,125.42,70.0,3000
2026-11,Headset Business,Vertrieb Nord,120,120.0,75.0,79.48,32.0,1600
2026-12,Dockingstation USB-C,Vertrieb West,76,75.0,140.0,137.76,65.0,2200
2025-02,Schreibtisch Elektrisch,Vertrieb Sued,18,15.0,650.0,668.24,380.0,8000
2026-04,Dockingstation USB-C,Vertrieb West,76,90.0,140.0,134.04,65.0,2200
2025-01,Buerostuhl Basic,Vertrieb Online,80,84.0,120.0,118.09,70.0,3000
2025-03,Monitor 24 Zoll,Vertrieb Sued,70,59.0,180.0,163.65,100.0,2500
2026-12,Maus Wireless,Vertrieb Online,280,289.0,28.0,28.02,10.0,900
2026-09,Schreibtisch Elektrisch,Vertrieb Nord,18,16.0,650.0,594.09,380.0,8000
2025-11,Buerostuhl Premium,Vertrieb West,30,34.0,350.0,364.84,180.0,6000
2025-04,Monitor 27 Zoll,Vertrieb Ost,60,51.0,280.0,262.57,160.0,4000
2025-12,Buerostuhl Premium,Vertrieb West,30,30.0,350.0,349.81,180.0,6000
2026-10,Headset Business,Vertrieb Ost,120,108.0,75.0,75.57,32.0,1600
2025-12,Monitor 24 Zoll,Vertrieb Nord,70,67.0,180.0,184.48,100.0,2500
2025-01,Monitor 32 Zoll Curved,Vertrieb West,24,23.0,480.0,482.75,270.0,5000
2026-02,Tastatur Mechanisch,Vertrieb West,100,106.0,95.0,94.78,42.0,1800
2025-11,Tastatur Wireless,Vertrieb Sued,240,232.0,45.0,43.84,18.0,1200
2025-08,Dockingstation USB-C,Vertrieb West,76,77.0,140.0,146.93,65.0,2200
2025-06,Schreibtisch Fix,Vertrieb West,40,924.0,220.0,201.62,110.0,3500
2025-07,Dockingstation USB-C,Vertrieb Online,76,68.0,140.0,133.47,65.0,2200
2026-08,Monitor 24 Zoll,Vertrieb Online,70,74.0,180.0,198.75,100.0,2500
2025-12,Dockingstation USB-C,Vertrieb Nord,76,68.0,140.0,145.14,65.0,2200
2026-10,Buerostuhl Ergonomic,Vertrieb Sued,18,15.0,550.0,546.41,290.0,7000
2026-11,Monitor 24 Zoll,Vertrieb Nord,70,72.0,180.0,179.78,100.0,2500
2026-02,Tastatur Wireless,Vertrieb Ost,240,218.0,45.0,49.69,18.0,1200
2026-04,Monitor 24 Zoll,Vertrieb Online,70,69.0,180.0,208.94,100.0,2500
2025-10,Maus Wireless,Vertrieb West,280,279.0,28.0,27.13,10.0,900
2025-12,Schreibtischlampe LED,Vertrieb Online,180,189.0,38.0,40.84,14.0,800
2026-12,Maus Wireless,Vertrieb Nord,280,263.0,28.0,26.91,10.0,900
2026-03,Schreibtischlampe LED,Vertrieb West,180,189.0,38.0,37.16,14.0,800
2025-03,Schreibtischlampe LED,Vertrieb Online,180,168.0,38.0,34.63,14.0,800
2026-05,Headset Business,Vertrieb Ost,120,117.0,75.0,72.6,32.0,1600
2025-01,Schreibtisch Fix,Vertrieb Online,40,41.0,220.0,218.22,110.0,3500
2025-09,Tastatur Wireless,Vertrieb Ost,240,231.0,45.0,41.5,18.0,1200
2025-05,Schreibtischlampe LED,Vertrieb Ost,180,178.0,38.0,35.26,14.0,800
2026-06,Webcam HD,Vertrieb West,140,153.0,55.0,55.38,22.0,1100
2026-08,Monitor 27 Zoll,Vertrieb Ost,60,57.0,280.0,287.72,160.0,4000
2025-02,Schreibtisch Elektrisch,Vertrieb Nord,18,21.0,650.0,654.06,380.0,8000
2025-03,Monitor 24 Zoll,Vertrieb Online,70,67.0,180.0,173.43,100.0,2500
2026-07,Buerostuhl Premium,Vertrieb Sued,30,32.0,350.0,343.66,180.0,6000
2026-07,Webcam HD,Vertrieb Sued,140,157.0,55.0,55.16,22.0,1100
2025-08,Buerostuhl Basic,Vertrieb Online,80,76.0,120.0,123.66,70.0,3000
2026-07,Buerostuhl Ergonomic,Vertrieb Online,18,15.0,550.0,565.45,290.0,7000
2026-12,Buerostuhl Ergonomic,Vertrieb Sued,18,19.0,550.0,553.91,290.0,7000
2026-07,Tastatur Mechanisch,Vertrieb Ost,100,96.0,95.0,96.85,42.0,1800
2025-01,Headset Business,Vertrieb Online,120,134.0,75.0,76.35,32.0,1600
2025-07,Headset Business,Vertrieb West,120,138.0,75.0,72.67,32.0,1600
2025-04,Monitor 32 Zoll Curved,Vertrieb West,24,24.0,480.0,502.1,270.0,5000
2026-06,Monitor 32 Zoll Curved,Vertrieb Online,24,22.0,480.0,494.45,270.0,5000
2026-01,Schreibtisch Fix,Vertrieb Ost,40,39.0,220.0,212.57,110.0,3500
2026-11,Buerostuhl Basic,Vertrieb Sued,80,88.0,120.0,119.18,70.0,3000
2025-08,Monitor 24 Zoll,Vertrieb Sued,70,70.0,180.0,202.77,100.0,2500
2025-10,Maus Wireless,Vertrieb Ost,280,254.0,28.0,25.57,10.0,900
2026-07,Schreibtisch Elektrisch,Vertrieb Sued,18,19.0,650.0,588.92,380.0,8000
2025-08,Headset Business,Vertrieb Online,120,94.0,75.0,73.75,32.0,1600
2026-11,Monitor 24 Zoll,Vertrieb Online,70,70.0,180.0,171.24,100.0,2500
2025-05,Buerostuhl Ergonomic,Vertrieb Sued,18,19.0,550.0,579.26,290.0,7000
2026-03,Tastatur Wireless,Vertrieb Ost,240,218.0,45.0,48.5,18.0,1200
2025-02,Schreibtischlampe LED,Vertrieb Sued,180,150.0,38.0,37.66,14.0,800
2026-04,Schreibtisch Fix,Vertrieb Ost,40,,220.0,215.24,110.0,3500
2025-04,Schreibtischlampe LED,Vertrieb Ost,180,181.0,38.0,39.09,14.0,800
2025-09,Headset Business,Vertrieb Nord,120,125.0,75.0,75.41,32.0,1600
2026-03,Tastatur Mechanisch,Vertrieb Sued,100,113.0,95.0,104.93,42.0,1800
2025-08,Buerostuhl Premium,Vertrieb Ost,30,30.0,350.0,352.65,180.0,6000
2026-04,Maus Wireless,Vertrieb Online,280,266.0,28.0,26.54,10.0,900
2026-11,Webcam HD,Vertrieb Ost,140,143.0,55.0,53.69,22.0,1100
2026-04,Maus Wireless,Vertrieb Nord,280,285.0,28.0,27.97,10.0,900
2026-03,Schreibtisch Elektrisch,Vertrieb West,18,18.0,650.0,658.98,380.0,8000
2025-07,Maus Wireless,Vertrieb Nord,280,274.0,28.0,29.75,10.0,900
2025-12,Headset Business,Vertrieb Online,120,120.0,75.0,79.56,32.0,1600
2026-05,Monitor 24 Zoll,Vertrieb Nord,70,77.0,180.0,188.48,100.0,2500
2026-06,Webcam HD,Vertrieb Ost,140,,55.0,54.55,22.0,1100
2026-12,Schreibtisch Elektrisch,Vertrieb West,18,16.0,650.0,664.75,380.0,8000
2026-07,Maus Wireless,Vertrieb West,280,274.0,28.0,28.44,10.0,900
2026-11,Headset Business,Vertrieb Ost,120,125.0,75.0,71.33,32.0,1600
2026-04,Maus Wireless,Vertrieb West,280,268.0,28.0,26.29,10.0,900
2025-05,Schreibtischlampe LED,Vertrieb Online,180,172.0,38.0,39.85,14.0,800
2026-05,Schreibtisch Elektrisch,Vertrieb Ost,18,15.0,650.0,743.38,380.0,8000
2025-08,Tastatur Mechanisch,Vertrieb West,100,102.0,95.0,95.73,42.0,1800
2025-10,Monitor 27 Zoll,Vertrieb Sued,60,55.0,280.0,284.68,160.0,4000
2026-08,Webcam HD,Vertrieb Online,140,145.0,55.0,56.04,22.0,1100
2026-07,Tastatur Wireless,Vertrieb Ost,240,251.0,45.0,43.75,18.0,1200
2026-02,Dockingstation USB-C,Vertrieb Sued,76,90.0,140.0,143.93,65.0,2200
2026-01,Dockingstation USB-C,Vertrieb Ost,76,75.0,140.0,136.2,65.0,2200
2026-09,Buerostuhl Premium,Vertrieb West,30,25.0,350.0,334.67,180.0,6000
2025-12,Schreibtisch Fix,Vertrieb Online,40,34.0,220.0,224.07,110.0,3500
2025-02,Headset Business,Vertrieb Nord,120,123.0,75.0,75.48,32.0,1600
2026-11,Buerostuhl Premium,Vertrieb Ost,30,25.0,350.0,327.81,180.0,6000
2026-04,Tastatur Wireless,Vertrieb West,240,205.0,45.0,44.81,18.0,1200
2026-04,Tastatur Wireless,Vertrieb Sued,240,224.0,45.0,48.62,18.0,1200
2025-02,Buerostuhl Premium,Vertrieb Sued,30,30.0,350.0,346.05,180.0,6000
2025-03,Buerostuhl Basic,Vertrieb Nord,80,80.0,120.0,120.63,70.0,3000
2026-04,Schreibtisch Fix,Vertrieb West,40,41.0,220.0,221.34,110.0,3500
2026-01,Buerostuhl Premium,Vertrieb Sued,30,28.0,350.0,329.99,180.0,6000
2026-12,Schreibtisch Fix,Vertrieb Sued,40,31.0,220.0,235.54,110.0,3500
2026-05,Buerostuhl Premium,Vertrieb Ost,30,26.0,350.0,313.88,180.0,6000
2025-04,Dockingstation USB-C,Vertrieb Nord,76,85.0,140.0,136.88,65.0,2200
2025-08,Dockingstation USB-C,Vertrieb Nord,76,76.0,140.0,135.49,65.0,2200
2025-04,Monitor 32 Zoll Curved,Vertrieb Sued,24,26.0,480.0,480.42,270.0,5000
2026-03,Buerostuhl Ergonomic,Vertrieb Ost,18,16.0,550.0,581.18,290.0,7000
2025-10,Headset Business,Vertrieb Sued,120,127.0,75.0,79.03,32.0,1600
2026-12,Tastatur Wireless,Vertrieb Ost,240,259.0,45.0,44.34,18.0,1200
2025-01,Schreibtischlampe LED,Vertrieb Ost,180,169.0,38.0,36.4,14.0,800
2026-06,Schreibtisch Elektrisch,Vertrieb Ost,18,15.0,650.0,650.16,380.0,8000
2025-06,Dockingstation USB-C,Vertrieb Online,76,77.0,140.0,149.97,65.0,2200
2025-03,Schreibtischlampe LED,Vertrieb Nord,180,136.0,38.0,37.31,14.0,800
2026-12,Monitor 32 Zoll Curved,Vertrieb Ost,24,22.0,480.0,515.42,270.0,5000
2026-06,Buerostuhl Ergonomic,Vertrieb Nord,18,19.0,550.0,537.02,290.0,7000
2025-01,Schreibtisch Fix,Vertrieb Ost,40,45.0,220.0,207.17,110.0,3500
2026-09,Buerostuhl Ergonomic,Vertrieb Sued,18,18.0,550.0,551.07,290.0,7000
2025-06,Monitor 27 Zoll,Vertrieb Ost,60,61.0,280.0,287.64,160.0,4000
2025-01,Maus Wireless,Vertrieb Nord,280,298.0,28.0,28.92,10.0,900
2025-04,Webcam HD,Vertrieb Sued,140,161.0,55.0,56.31,22.0,1100
2025-12,Schreibtischlampe LED,Vertrieb West,180,172.0,38.0,38.92,14.0,800
2025-10,Buerostuhl Premium,Vertrieb Ost,30,31.0,350.0,308.28,180.0,6000
2025-12,Dockingstation USB-C,Vertrieb West,76,55.0,140.0,147.51,65.0,2200
2026-09,Buerostuhl Premium,Vertrieb Sued,30,27.0,350.0,351.26,180.0,6000
2026-10,Schreibtischlampe LED,Vertrieb West,180,161.0,38.0,38.11,14.0,800
2025-08,Schreibtisch Elektrisch,Vertrieb Sued,18,17.0,650.0,687.2,380.0,8000
2026-04,Headset Business,Vertrieb Online,120,132.0,75.0,66.14,32.0,1600
2025-06,Buerostuhl Premium,Vertrieb Nord,30,26.0,350.0,330.34,180.0,6000
2025-07,Schreibtischlampe LED,Vertrieb Sued,180,194.0,38.0,34.93,14.0,800
2025-07,Schreibtischlampe LED,Vertrieb Nord,180,188.0,38.0,37.9,14.0,800
2026-04,Schreibtisch Elektrisch,Vertrieb Ost,18,19.0,650.0,607.66,380.0,8000
2026-02,Buerostuhl Premium,Vertrieb Sued,30,27.0,350.0,328.23,180.0,6000
2025-06,Monitor 32 Zoll Curved,Vertrieb Nord,24,25.0,480.0,478.45,270.0,5000
2026-06,Webcam HD,Vertrieb Sued,140,150.0,55.0,54.68,22.0,1100
2026-03,Monitor 32 Zoll Curved,Vertrieb Sued,24,25.0,480.0,473.07,270.0,5000
2026-01,Headset Business,Vertrieb West,120,108.0,75.0,80.11,32.0,1600
2025-10,Monitor 32 Zoll Curved,Vertrieb Ost,24,23.0,480.0,528.17,270.0,5000
2025-07,Maus Wireless,Vertrieb Online,280,268.0,28.0,27.71,10.0,900
2026-02,Headset Business,Vertrieb Sued,120,116.0,75.0,75.83,32.0,1600
2025-12,Tastatur Mechanisch,Vertrieb Online,100,96.0,95.0,93.91,42.0,1800
2025-06,Monitor 24 Zoll,Vertrieb West,70,74.0,180.0,190.85,100.0,2500
2026-06,Schreibtisch Elektrisch,Vertrieb Sued,18,17.0,650.0,628.9,380.0,8000
2026-11,Buerostuhl Basic,Vertrieb Ost,80,68.0,120.0,113.67,70.0,3000
2026-04,Tastatur Mechanisch,Vertrieb Ost,100,90.0,95.0,91.37,42.0,1800
2026-01,Dockingstation USB-C,Vertrieb Online,76,79.0,140.0,144.22,65.0,2200
2026-03,Headset Business,Vertrieb Sued,120,,75.0,73.88,32.0,1600
2026-06,Tastatur Wireless,Vertrieb West,240,232.0,45.0,45.21,18.0,1200
2025-05,Monitor 32 Zoll Curved,Vertrieb Sued,24,22.0,480.0,473.09,270.0,5000
2025-04,Webcam HD,Vertrieb Ost,140,144.0,55.0,56.68,22.0,1100
2026-03,Buerostuhl Basic,Vertrieb Ost,80,89.0,120.0,109.85,70.0,3000
2026-12,Monitor 32 Zoll Curved,Vertrieb West,24,25.0,480.0,475.38,270.0,5000
2025-09,Schreibtischlampe LED,Vertrieb Nord,180,159.0,38.0,40.9,14.0,800
2026-11,Tastatur Wireless,Vertrieb Sued,240,205.0,45.0,47.11,18.0,1200
2026-11,Monitor 32 Zoll Curved,Vertrieb West,24,21.0,480.0,482.67,270.0,5000
2026-12,Tastatur Mechanisch,Vertrieb West,100,100.0,95.0,88.31,42.0,1800
2025-02,Webcam HD,Vertrieb Ost,140,111.0,55.0,51.3,22.0,1100
2026-10,Maus Wireless,Vertrieb West,280,285.0,28.0,29.6,10.0,900
2025-03,Buerostuhl Premium,Vertrieb West,30,26.0,350.0,354.77,180.0,6000
2025-12,Monitor 32 Zoll Curved,Vertrieb Nord,24,26.0,480.0,483.5,270.0,5000
2026-12,Dockingstation USB-C,Vertrieb Ost,76,70.0,140.0,137.18,65.0,2200
2025-07,Buerostuhl Ergonomic,Vertrieb West,18,17.0,550.0,615.77,290.0,7000
2026-12,Schreibtisch Elektrisch,Vertrieb Ost,18,18.0,650.0,619.24,380.0,8000
2025-02,Monitor 32 Zoll Curved,Vertrieb Ost,24,23.0,480.0,481.09,270.0,5000
2026-04,Tastatur Wireless,Vertrieb Nord,240,239.0,45.0,49.58,18.0,1200
2026-10,Schreibtisch Elektrisch,Vertrieb Ost,18,20.0,650.0,638.9,380.0,8000
2025-09,Schreibtisch Elektrisch,Vertrieb Ost,18,16.0,650.0,694.45,380.0,8000
2025-12,Headset Business,Vertrieb Sued,120,118.0,75.0,73.64,32.0,1600
2026-09,Maus Wireless,Vertrieb Online,280,301.0,28.0,28.3,10.0,900
2025-06,Webcam HD,Vertrieb Ost,140,117.0,55.0,58.04,22.0,1100
2026-03,Dockingstation USB-C,Vertrieb Ost,76,73.0,140.0,147.32,65.0,2200
2025-09,Dockingstation USB-C,Vertrieb Ost,76,65.0,140.0,138.34,65.0,2200
2026-11,Monitor 24 Zoll,Vertrieb Sued,70,56.0,180.0,180.8,100.0,2500
2025-12,Tastatur Wireless,Vertrieb Nord,240,235.0,45.0,44.55,18.0,1200
2026-11,Schreibtisch Elektrisch,Vertrieb Online,18,19.0,650.0,620.7,380.0,8000
2026-05,Schreibtischlampe LED,Vertrieb Sued,180,154.0,38.0,34.23,14.0,800
2026-02,Headset Business,Vertrieb Ost,120,113.0,75.0,75.71,32.0,1600
2025-09,Buerostuhl Premium,Vertrieb West,30,30.0,350.0,362.63,180.0,6000
2026-03,Schreibtisch Fix,Vertrieb Ost,40,41.0,220.0,213.92,110.0,3500
2025-08,Tastatur Wireless,Vertrieb Sued,240,242.0,45.0,46.73,18.0,1200
2025-05,Monitor 32 Zoll Curved,Vertrieb Ost,24,25.0,480.0,479.39,270.0,5000
2026-07,Schreibtisch Fix,Vertrieb Online,40,40.0,220.0,196.63,110.0,3500
2025-11,Dockingstation USB-C,Vertrieb West,76,2160.0,140.0,150.63,65.0,2200
2025-04,Schreibtisch Fix,Vertrieb West,40,39.0,220.0,217.74,110.0,3500
2026-01,Monitor 27 Zoll,Vertrieb Online,60,64.0,280.0,281.31,160.0,4000
2025-09,Monitor 24 Zoll,Vertrieb Ost,70,69.0,180.0,185.14,100.0,2500
2026-10,Schreibtisch Fix,Vertrieb Nord,40,41.0,220.0,231.65,110.0,3500
2025-12,Buerostuhl Premium,Vertrieb Ost,30,32.0,350.0,356.15,180.0,6000
2026-03,Monitor 24 Zoll,Vertrieb Sued,70,66.0,180.0,194.74,100.0,2500
2025-10,Webcam HD,Vertrieb West,140,167.0,55.0,49.82,22.0,1100
2025-11,Tastatur Mechanisch,Vertrieb West,100,106.0,95.0,104.16,42.0,1800
2026-10,Buerostuhl Basic,Vertrieb Ost,80,82.0,120.0,118.86,70.0,3000
2026-03,Buerostuhl Ergonomic,Vertrieb Nord,18,19.0,550.0,586.43,290.0,7000
2025-11,Monitor 27 Zoll,Vertrieb Nord,60,54.0,280.0,269.43,160.0,4000
2026-08,Headset Business,Vertrieb Sued,120,135.0,75.0,69.07,32.0,1600
2025-07,Buerostuhl Premium,Vertrieb Online,30,27.0,350.0,322.96,180.0,6000
2026-07,Buerostuhl Premium,Vertrieb Online,30,29.0,350.0,358.41,180.0,6000
2025-08,Schreibtisch Fix,Vertrieb Sued,40,40.0,220.0,217.25,110.0,3500
2025-12,Schreibtisch Fix,Vertrieb Nord,40,41.0,220.0,222.52,110.0,3500
2025-10,Dockingstation USB-C,Vertrieb Nord,76,83.0,140.0,127.27,65.0,2200
2026-04,Webcam HD,Vertrieb Sued,140,108.0,55.0,52.83,22.0,1100
2025-08,Schreibtisch Fix,Vertrieb West,40,44.0,220.0,236.05,110.0,3500
2026-04,Webcam HD,Vertrieb Ost,140,151.0,55.0,57.12,22.0,1100
2025-03,Webcam HD,Vertrieb West,140,145.0,55.0,53.0,22.0,1100
2026-08,Headset Business,Vertrieb Ost,120,144.0,75.0,78.06,32.0,1600
